"filename", "language", "Makefile", "C++", "comment", "blank", "total"
"/home/harry/Projects/RenderingEngine_rewrite4/include/Engine.cpp", "C++", 0, 19, 6, 2, 27
"/home/harry/Projects/RenderingEngine_rewrite4/include/Engine.hpp", "C++", 0, 2, 0, 0, 2
"/home/harry/Projects/RenderingEngine_rewrite4/makefile", "Makefile", 1, 0, 0, 1, 2
"Total", "-", 1, 21, 6, 3, 31
