"filename", "language", "Ini", "Markdown", "C++", "Shell Script", "GLSL", "Makefile", "JSON", "comment", "blank", "total"
"/home/harry/Projects/RenderingEngine_rewrite4/include/ShaderClass.hpp", "C++", 0, 0, 157, 0, 0, 0, 0, 29, 9, 195
"/home/harry/Projects/RenderingEngine_rewrite4/include/Skybox.cpp", "C++", 0, 0, 115, 0, 0, 0, 0, 1, 21, 137
"/home/harry/Projects/RenderingEngine_rewrite4/include/Skybox.hpp", "C++", 0, 0, 18, 0, 0, 0, 0, 0, 7, 25
"/home/harry/Projects/RenderingEngine_rewrite4/include/TextureLoader.hpp", "C++", 0, 0, 43, 0, 0, 0, 0, 2, 9, 54
"/home/harry/Projects/RenderingEngine_rewrite4/include/camera.h", "C++", 0, 0, 101, 0, 0, 0, 0, 20, 17, 138
"/home/harry/Projects/RenderingEngine_rewrite4/include/lights.cpp", "C++", 0, 0, 83, 0, 0, 0, 0, 5, 20, 108
"/home/harry/Projects/RenderingEngine_rewrite4/include/lights.hpp", "C++", 0, 0, 61, 0, 0, 0, 0, 8, 28, 97
"/home/harry/Projects/RenderingEngine_rewrite4/main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/home/harry/Projects/RenderingEngine_rewrite4/makefile", "Makefile", 0, 0, 0, 0, 0, 22, 0, 10, 10, 42
"/home/harry/Projects/RenderingEngine_rewrite4/shaders/cyborgShader.fs", "GLSL", 0, 0, 0, 0, 99, 0, 0, 15, 33, 147
"/home/harry/Projects/RenderingEngine_rewrite4/shaders/cyborgShader.vs", "GLSL", 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"/home/harry/Projects/RenderingEngine_rewrite4/shaders/flatSurface.fs", "GLSL", 0, 0, 0, 0, 99, 0, 0, 15, 33, 147
"/home/harry/Projects/RenderingEngine_rewrite4/shaders/flatSurface.vs", "GLSL", 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"/home/harry/Projects/RenderingEngine_rewrite4/shaders/sun.fs", "GLSL", 0, 0, 0, 0, 10, 0, 0, 1, 4, 15
"/home/harry/Projects/RenderingEngine_rewrite4/shaders/sun.vs", "GLSL", 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"Total", "-", 9, 18, 1241, 21, 586, 22, 210, 185, 498, 2790
