"filename", "language", "Markdown", "C++", "Shell Script", "Ini", "Makefile", "JSON", "GLSL", "comment", "blank", "total"
"/home/harry/Projects/RevRenderEngine/include/Skybox.cpp", "C++", 0, 115, 0, 0, 0, 0, 0, 1, 21, 137
"/home/harry/Projects/RevRenderEngine/include/Skybox.hpp", "C++", 0, 18, 0, 0, 0, 0, 0, 0, 7, 25
"/home/harry/Projects/RevRenderEngine/include/TextureLoader.hpp", "C++", 0, 64, 0, 0, 0, 0, 0, 5, 15, 84
"/home/harry/Projects/RevRenderEngine/include/camera.h", "C++", 0, 101, 0, 0, 0, 0, 0, 20, 17, 138
"/home/harry/Projects/RevRenderEngine/include/lights.cpp", "C++", 0, 83, 0, 0, 0, 0, 0, 5, 20, 108
"/home/harry/Projects/RevRenderEngine/include/lights.hpp", "C++", 0, 61, 0, 0, 0, 0, 0, 8, 28, 97
"/home/harry/Projects/RevRenderEngine/main.cpp", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/home/harry/Projects/RevRenderEngine/makefile", "Makefile", 0, 0, 0, 0, 23, 0, 0, 10, 11, 44
"/home/harry/Projects/RevRenderEngine/shaders/cyborgShader.fs", "GLSL", 0, 0, 0, 0, 0, 0, 99, 15, 33, 147
"/home/harry/Projects/RevRenderEngine/shaders/cyborgShader.vs", "GLSL", 0, 0, 0, 0, 0, 0, 17, 0, 4, 21
"/home/harry/Projects/RevRenderEngine/shaders/flatSurface.fs", "GLSL", 0, 0, 0, 0, 0, 0, 99, 15, 33, 147
"/home/harry/Projects/RevRenderEngine/shaders/flatSurface.vs", "GLSL", 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"/home/harry/Projects/RevRenderEngine/shaders/sun.fs", "GLSL", 0, 0, 0, 0, 0, 0, 10, 1, 4, 15
"/home/harry/Projects/RevRenderEngine/shaders/sun.vs", "GLSL", 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"Total", "-", 18, 1803, 21, 9, 23, 210, 703, 321, 658, 3766
